City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,saint-pierre,-21.3393,55.4781,19.82,77,0,2.57,RE,1692058636
226,hue,16.4667,107.6,31.06,58,20,1.54,VN,1692058510
227,le vauclin,14.5452,-60.8388,28.03,83,75,7.2,MQ,1692058637
228,takab,36.4009,47.1133,16.71,33,0,2.62,IR,1692058637
229,cooper's town,26.8667,-77.5167,29.89,73,54,6.22,BS,1692058637
230,verkh-chebula,56.0308,87.6218,11.22,97,100,6.17,RU,1692058638
231,illela,13.7292,5.2975,25.9,73,88,4.02,NG,1692058638
232,lorengau,-2.0226,147.2712,25.28,90,100,2.62,PG,1692058638
233,broken hill,-31.95,141.4333,12.15,58,1,5.37,AU,1692058638
234,dalai,45.5,124.3,25.86,75,7,2.81,CN,1692058638
235,mahajanga,-15.7167,46.3167,22.97,73,57,1.9,MG,1692058639
236,komsomol'sk,49.0097,33.6455,20.18,52,0,0.85,UA,1692058639
237,leava,-14.3,-178.1667,27.48,82,59,7.09,WF,1692058523
238,ust'-ilimsk,58.0006,102.6619,17.27,92,64,2.25,RU,1692058639
239,ingeniero guillermo n. juarez,-23.9,-61.85,21.35,41,0,3.42,AR,1692058640
240,saipan,15.1355,145.701,30.39,100,40,5.14,MP,1692058640
241,mount isa,-20.7333,139.5,24.87,44,72,3.09,AU,1692058640
242,tralee,52.2704,-9.7026,13.53,96,38,2.58,IE,1692058495
243,yangliuqing,39.1375,116.9997,29.97,74,6,2.14,CN,1692058641
244,fort mcmurray,56.7268,-111.381,22.73,43,75,4.63,CA,1692058615
245,tura,25.5198,90.2201,23.61,96,66,1.6,IN,1692058642
246,caohe,30.2297,115.4335,27.11,85,16,1.01,CN,1692058642
247,savino,56.5929,41.2181,15.72,99,42,2.73,RU,1692058642
248,puerto asis,0.5133,-76.5007,21.32,98,100,0.62,CO,1692058642
249,san antonio,29.4241,-98.4936,39.48,28,0,3.6,US,1692058205
250,torghay,49.6339,63.4981,19.8,36,59,2.73,KZ,1692058643
251,bodo,67.28,14.405,14.02,95,100,2.57,NO,1692058643
252,margate,51.3813,1.3862,17.39,89,49,1.79,GB,1692058450
253,nishinoomote,30.7333,131.0,28.31,94,75,7.72,JP,1692058644
254,ageoshimo,35.9697,139.5886,30.46,67,98,4.0,JP,1692058644
255,greenland,43.0362,-70.8328,24.92,81,75,0.0,US,1692058616
256,elverum,60.8819,11.5623,13.59,99,100,2.01,NO,1692058644
257,remire-montjoly,4.9167,-52.2667,25.02,94,0,1.03,GF,1692058644
258,lubang,13.8584,120.124,28.08,80,25,3.43,PH,1692058645
259,hagi,34.4,131.4167,27.05,90,100,8.29,JP,1692058645
